Difficulty Tag,Exercise,How to do the exercise,Benefits,Animation
Beginner,Tadasana,"Stand with feet together or hip width apart, spread toes and press evenly through the feet. Engage thighs gently, lengthen the spine, relax shoulders and let arms rest by your sides with palms facing in or forward. Keep chin level and breathe slowly.","Improves posture and body awareness, strengthens legs and core, supports steady breathing and calm focus.",
Beginner,Vrksasana,"Stand tall and shift weight into one foot. Place the sole of the other foot on the inner calf or inner thigh, avoiding the knee. Bring palms together at the chest or raise arms overhead. Keep gaze steady on one point and breathe evenly.","Builds balance and concentration, strengthens ankles and legs, opens hips and chest.",
Beginner,Utkatasana,Stand with feet together or hip width apart. As you inhale raise arms overhead. As you exhale bend knees and sit the hips back as if into a chair while keeping weight in the heels. Keep chest lifted and core engaged.,"Strengthens thighs, glutes and core, warms the body and supports stamina.",
Beginner,Virabhadrasana one,Step one foot forward and bend the front knee above the ankle. Turn the back foot out slightly and press the outer edge into the ground. Square the hips toward the front and lift arms overhead with the chest open.,"Strengthens legs and shoulders, opens hips and chest, improves stability and confidence.",
Beginner,Virabhadrasana two,"Step feet wide, turn one foot out and bend the front knee so it stacks over the ankle. Keep the back leg straight. Stretch arms out at shoulder height and gaze softly over the front hand.","Builds leg strength and endurance, opens hips, improves focus and grounded presence.",
Intermediate,Virabhadrasana three,"From standing, step one foot back slightly then hinge forward from the hips while lifting the back leg behind you. Reach arms forward, to the sides or back along the body. Keep hips level and core strong.","Strengthens legs, glutes and back, improves balance and concentration, supports core stability.",
Intermediate,Navasana,Sit with knees bent and feet on the ground. Lean back slightly with a long spine and lift feet so shins come parallel to the floor. Extend arms forward. For a stronger version straighten the legs.,"Strengthens core and hip flexors, supports healthy posture and builds stamina.",
Beginner,Bhujangasana,Lie on the belly with legs extended and tops of feet on the ground. Place palms under shoulders. As you inhale press gently into the hands and lift chest while keeping elbows close and lower ribs down or light. Lengthen the neck.,"Opens chest and shoulders, strengthens back muscles and may ease mild stiffness from sitting.",
Beginner,Setu Bandhasana,Lie on your back with knees bent and feet hip width apart close to the sitting bones. Press feet and arms into the ground to lift hips. Keep knees in line with hips and avoid flaring ribs. Interlace fingers under the back if comfortable.,"Strengthens glutes and back, opens chest and hip flexors, can refresh energy and support mood.",
Intermediate,Dhanurasana,"Lie on the belly, bend knees and reach back to hold ankles. As you inhale kick feet into hands and lift chest and thighs away from the ground. Keep gaze forward or slightly upward without straining the neck.","Deeply opens the front body, strengthens back muscles and stimulates digestion and energy.",
